n_bars,oos_start,oos_end,n_folds,n_traded,n_not_cointegrated,n_not_hedged,n_half_life,n_trades,win_rate,n_zscore_stops,n_loss_stops,n_time_stops,total_return,sharpe,psr,p_value,max_drawdown,time_in_market,median_net_exposure,median_spread_volatility,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,sharpe_frictionless,total_return_frictionless,mean_gross_pnl_bps,mean_cost_bps,pair,family,discovery
3774,2012-01-03,2024-12-31,26,9,16,1,0,23,0.6521739130434783,2,0,2,0.03385867043916768,0.1277455646984656,0.6775233595909952,0.3224766404090048,-0.04647849773409407,0.10336391437308869,0.23373266843804588,0.07608062164640604,0.2083794098802865,0.1277455646984656,0.04700472162015134,-0.11306402162566866,0.22068137717691347,0.06161682813385294,25.651610597447917,11.540869393664046,EWH/EWT,developed_asia,False
3774,2012-01-03,2024-12-31,26,2,22,2,0,6,0.8333333333333334,0,0,0,0.013618551801546586,0.08779837335028405,0.6242132979614199,0.3757867020385801,-0.03567607400429229,0.03761467889908257,0.4006929410869051,0.07714830172672016,0.12387170200514294,0.08779837335028405,0.05173598839675249,-0.01976232883133271,0.13171156074097035,0.021013762874451558,34.41833470653678,12.144122202495822,EWH/EWY,developed_asia,False
3774,2012-01-03,2024-12-31,26,4,21,1,0,7,0.42857142857142855,2,0,1,-0.022262414083585758,-0.14063247389514621,0.3013988729572531,0.6986011270427469,-0.057010807580718526,0.028134556574923548,0.5456809029405136,0.0676128795339771,-0.09535542057948086,-0.14063247389514621,-0.18559455676896802,-0.2735872865333387,-0.08963760292708585,-0.01457289036128584,-21.24490957115956,11.156937041927527,EWJ/EWS,developed_asia,False
3774,2012-01-03,2024-12-31,26,2,20,4,0,4,0.75,0,0,1,0.0491411032244804,0.34720246362680096,0.9095629364113818,0.09043706358861825,-0.03130087865960607,0.022935779816513763,0.24293161641112704,0.07593873253094677,0.3774592508401231,0.34720246362680096,0.31681149668764075,0.25612615202330746,0.38354984628737476,0.0542541097358884,134.1049258953393,12.303432025709233,EWJ/EWT,developed_asia,False
3774,2012-01-03,2024-12-31,26,1,23,2,0,3,0.6666666666666666,0,0,1,0.009581496156363611,0.10003341157474988,0.6397136592964485,0.3602863407035515,-0.027754608894516974,0.017737003058103974,0.3393658196798918,0.06747582286638897,0.13029426241369133,0.10003341157474988,0.06969588957220259,0.009498186357992782,0.13650293464066188,0.013221608800540796,43.53303717735701,12.036538566874894,EWJ/EWY,developed_asia,False
3774,2012-01-03,2024-12-31,26,3,21,2,0,5,0.4,0,0,2,-0.013077260998430873,-0.0611598299497147,0.4127356761799745,0.5872643238200255,-0.07665751441078428,0.03394495412844037,0.4066542768444239,0.08136809316948371,-0.03483660199739027,-0.0611598299497147,-0.08738113169852986,-0.13924205541116869,-0.028654667185003854,-0.00689188947768149,-14.0751694140778,12.468640671887314,EWS/EWT,developed_asia,False
3774,2012-01-03,2024-12-31,26,1,22,3,0,1,1.0,0,0,1,0.001858675266982246,0.025534840613420005,0.536713759665371,0.46328624033462895,-0.01933713602317466,0.011009174311926606,0.4207130054396856,0.06701313078045439,0.037754137337289044,0.025534840613420005,0.013314246535310666,-0.010990357521116241,0.04249300778797943,0.003269863841466103,32.69863841466106,14.111885744839626,EWS/EWY,developed_asia,False
3774,2012-01-03,2024-12-31,26,4,21,1,0,9,0.6666666666666666,0,0,1,0.06456397221298604,0.23934297570720706,0.8101778576768958,0.18982214232310424,-0.038595246554811835,0.04862385321100918,0.28312912427260223,0.08255725021420376,0.2734777013202829,0.23934297570720706,0.2053124343436374,0.13787467456737823,0.27901272241031966,0.0758611131113085,81.64145661873322,11.814299756945386,EWT/EWY,developed_asia,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.8798517833957732,,,,,,,0.0,,,EWW/EWZ,latin_america,False
3774,2012-01-03,2024-12-31,26,0,21,5,0,0,,0,0,0,0.0,,,,0.0,0.0,0.7588510947860808,,,,,,,0.0,,,IEF/SHY,treasuries,False
3774,2012-01-03,2024-12-31,26,2,19,5,0,4,0.5,0,0,0,-0.009661102567022795,-0.1101945102640721,0.3461975982747354,0.6538024017252646,-0.035037242816353786,0.02507645259938838,0.3570746877112832,0.030446456726190417,-0.06322975023646375,-0.1101945102640721,-0.15653109454380604,-0.24548059996994484,-0.05276056714773892,-0.004777427554392588,-12.019574161018173,12.271778896527422,IEF/TLT,treasuries,False
3774,2012-01-03,2024-12-31,26,0,21,5,0,0,,0,0,0,0.0,,,,0.0,0.0,0.9212251865618577,,,,,,,0.0,,,SHY/TLT,treasuries,False
3774,2012-01-03,2024-12-31,26,20,5,1,0,70,0.2857142857142857,1,0,4,-0.03445227388007499,-0.6249718062816053,0.012995330585015548,0.9870046694149844,-0.035454061308539786,0.21100917431192662,0.042021239580605746,0.008744192371918197,0.6858240186246436,-0.6249718062816053,-1.5634168000656157,-2.4647910896105922,0.8216872820598814,0.04285726768140963,6.197033138177062,11.002946388511239,HYG/JNK,credit,False
3774,2012-01-03,2024-12-31,26,0,22,4,0,0,,0,0,0,0.0,,,,0.0,0.0,0.30905332373878114,,,,,,,0.0,,,HYG/LQD,credit,False
3774,2012-01-03,2024-12-31,26,0,22,4,0,0,,0,0,0,0.0,,,,0.0,0.0,0.34679234827986494,,,,,,,0.0,,,JNK/LQD,credit,False
