date,equity,return,gross_exposure,net_exposure,zscore
2013-05-15,98304.48253734868,0.0,0.0,0.0,
2013-05-16,98304.48253734868,0.0,0.0,0.0,
2013-05-17,98304.48253734868,0.0,0.0,0.0,
2013-05-20,98304.48253734868,0.0,0.0,0.0,
2013-05-21,98304.48253734868,0.0,0.0,0.0,
2013-05-22,98304.48253734868,0.0,0.0,0.0,
2013-05-23,98304.48253734868,0.0,0.0,0.0,
2013-05-24,98304.48253734868,0.0,0.0,0.0,
2013-05-28,98304.48253734868,0.0,0.0,0.0,
2013-05-29,98304.48253734868,0.0,0.0,0.0,
2013-05-30,98304.48253734868,0.0,0.0,0.0,
2013-05-31,98304.48253734868,0.0,0.0,0.0,
2013-06-03,98304.48253734868,0.0,0.0,0.0,
2013-06-04,98304.48253734868,0.0,0.0,0.0,
2013-06-05,98304.48253734868,0.0,0.0,0.0,
2013-06-06,98304.48253734868,0.0,0.0,0.0,
2013-06-07,98304.48253734868,0.0,0.0,0.0,
2013-06-10,98304.48253734868,0.0,0.0,0.0,
2013-06-11,98304.48253734868,0.0,0.0,0.0,
2013-06-12,98304.48253734868,0.0,0.0,0.0,
2013-06-13,98304.48253734868,0.0,0.0,0.0,
2013-06-14,98304.48253734868,0.0,0.0,0.0,
2013-06-17,98304.48253734868,0.0,0.0,0.0,
2013-06-18,98304.48253734868,0.0,0.0,0.0,
2013-06-19,98304.48253734868,0.0,0.0,0.0,
2013-06-20,98304.48253734868,0.0,0.0,0.0,
2013-06-21,98304.48253734868,0.0,0.0,0.0,
2013-06-24,98304.48253734868,0.0,0.0,0.0,
2013-06-25,98304.48253734868,0.0,0.0,0.0,
2013-06-26,98304.48253734868,0.0,0.0,0.0,
2013-06-27,98304.48253734868,0.0,0.0,0.0,
2013-06-28,98304.48253734868,0.0,0.0,0.0,
2013-07-01,98304.48253734868,0.0,0.0,0.0,
2013-07-02,98304.48253734868,0.0,0.0,0.0,
2013-07-03,98304.48253734868,0.0,0.0,0.0,
2013-07-05,98304.48253734868,0.0,0.0,0.0,
2013-07-08,98304.48253734868,0.0,0.0,0.0,
2013-07-09,98304.48253734868,0.0,0.0,0.0,
2013-07-10,98304.48253734868,0.0,0.0,0.0,
2013-07-11,98304.48253734868,0.0,0.0,0.0,
2013-07-12,98304.48253734868,0.0,0.0,0.0,
2013-07-15,98304.48253734868,0.0,0.0,0.0,
2013-07-16,98304.48253734868,0.0,0.0,0.0,
2013-07-17,98304.48253734868,0.0,0.0,0.0,
2013-07-18,98304.48253734868,0.0,0.0,0.0,
2013-07-19,98304.48253734868,0.0,0.0,0.0,
2013-07-22,98304.48253734868,0.0,0.0,0.0,
2013-07-23,98304.48253734868,0.0,0.0,0.0,
2013-07-24,98304.48253734868,0.0,0.0,0.0,
2013-07-25,98304.48253734868,0.0,0.0,0.0,
2013-07-26,98304.48253734868,0.0,0.0,0.0,
2013-07-29,98304.48253734868,0.0,0.0,0.0,
2013-07-30,98304.48253734868,0.0,0.0,0.0,
2013-07-31,98304.48253734868,0.0,0.0,0.0,
2013-08-01,98304.48253734868,0.0,0.0,0.0,
2013-08-02,98304.48253734868,0.0,0.0,0.0,
2013-08-05,98304.48253734868,0.0,0.0,0.0,
2013-08-06,98304.48253734868,0.0,0.0,0.0,
2013-08-07,98304.48253734868,0.0,0.0,0.0,
2013-08-08,98304.48253734868,0.0,0.0,0.0,
2013-08-09,98304.48253734868,0.0,0.0,0.0,
2013-08-12,98304.48253734868,0.0,0.0,0.0,
2013-08-13,98304.48253734868,0.0,0.0,0.0,
2013-08-14,98304.48253734868,0.0,0.0,0.0,
2013-08-15,98304.48253734868,0.0,0.0,0.0,
2013-08-16,98304.48253734868,0.0,0.0,0.0,
2013-08-19,98304.48253734868,0.0,0.0,0.0,
2013-08-20,98304.48253734868,0.0,0.0,0.0,
